,Loss
0,2.500983715057373
1,2.529857873916626
2,2.443559169769287
3,2.4638400077819824
4,2.4728665351867676
5,2.4067299365997314
6,2.317828893661499
7,2.1384966373443604
8,2.042261838912964
9,1.984958291053772
10,1.8008177280426025
11,1.691330075263977
12,1.565146565437317
13,1.4849152565002441
14,1.421953558921814
15,1.340262532234192
16,1.248112440109253
17,1.1579773426055908
18,1.0774731636047363
19,0.9885616302490234
20,0.9455922842025757
21,0.9334526062011719
22,0.8361911177635193
23,0.8994330167770386
24,0.8591946363449097
25,0.872360110282898
26,0.9035131931304932
27,0.8176947236061096
28,0.8496972322463989
29,0.7675238251686096
30,0.8450798988342285
31,0.7450480461120605
32,0.7636213898658752
33,0.7893760204315186
34,0.7495356798171997
35,0.8178597688674927
36,0.741437554359436
37,0.7679413557052612
38,0.7041171789169312
39,0.7321343421936035
40,0.7739619612693787
41,0.7014700174331665
42,0.695438027381897
43,0.7250955104827881
44,0.7037652730941772
45,0.8535624742507935
46,0.6730027794837952
47,0.7164686918258667
48,0.7139511108398438
49,0.7039114236831665
50,0.7178404331207275
51,0.6861876845359802
52,0.6890093088150024
53,0.6904468536376953
54,0.6749023199081421
55,0.6537662148475647
56,0.6762149333953857
57,0.6553069949150085
58,0.6260216236114502
59,0.5684433579444885
60,0.6216579675674438
61,0.6456832885742188
62,0.620652437210083
63,0.6088153719902039
64,0.5686749219894409
65,0.594334602355957
66,0.6579564809799194
67,0.6408876776695251
68,0.5974230766296387
69,0.604293167591095
70,0.5985714197158813
71,0.5903723835945129
72,0.5950687527656555
73,0.559943675994873
74,0.5164136290550232
75,0.5283210873603821
76,0.5998527407646179
77,0.46776771545410156
78,0.538667619228363
79,0.5101112723350525
80,0.5281996726989746
81,0.5325208306312561
82,0.4499688148498535
83,0.513092577457428
84,0.5145728588104248
85,0.556811511516571
86,0.4976019859313965
87,0.4587957262992859
88,0.5195924043655396
89,0.5333922505378723
90,0.4807324707508087
91,0.48318636417388916
92,0.44643858075141907
93,0.4543886184692383
94,0.5158979892730713
95,0.43637368083000183
96,0.4398035407066345
97,0.4882698059082031
98,0.4931800365447998
99,0.44957536458969116
100,0.44505107402801514
101,0.4698922634124756
102,0.5382859706878662
103,0.447659432888031
104,0.4204561114311218
105,0.4845998287200928
106,0.4127979874610901
107,0.39325571060180664
108,0.4195798635482788
109,0.41397520899772644
110,0.39300286769866943
111,0.4363211393356323
112,0.40778398513793945
113,0.41665950417518616
114,0.42353105545043945
115,0.4248088598251343
116,0.37760838866233826
117,0.4119279980659485
118,0.5075879693031311
119,0.4832264482975006
120,0.4277222454547882
121,0.4468139111995697
122,0.43533220887184143
123,0.3857349753379822
124,0.41127532720565796
125,0.40000271797180176
126,0.4228925108909607
127,0.42615944147109985
128,0.4193120002746582
129,0.46851861476898193
130,0.4223739504814148
131,0.40060997009277344
132,0.3875059485435486
133,0.38903430104255676
134,0.38268762826919556
135,0.41303151845932007
136,0.41594600677490234
137,0.34547555446624756
138,0.4092673063278198
139,0.41005200147628784
140,0.4144233465194702
141,0.3777276873588562
142,0.38392236828804016
143,0.38778257369995117
144,0.3654339611530304
145,0.35940030217170715
146,0.29656606912612915
147,0.3837188482284546
148,0.41196322441101074
149,0.4107666313648224
150,0.32930678129196167
151,0.39409416913986206
152,0.4201688766479492
153,0.39845502376556396
154,0.3884308338165283
155,0.30414852499961853
156,0.3552089333534241
157,0.34788140654563904
158,0.4252755641937256
159,0.3831440508365631
160,0.34947890043258667
161,0.4326770305633545
162,0.3516860902309418
163,0.4209896922111511
164,0.40014785528182983
165,0.3508948087692261
166,0.3595132827758789
167,0.34016287326812744
168,0.4152956008911133
169,0.3503260016441345
170,0.31977126002311707
171,0.3555116057395935
172,0.4846235513687134
173,0.3463260531425476
174,0.4047284424304962
175,0.4090173840522766
176,0.354813814163208
177,0.32006895542144775
178,0.42256301641464233
179,0.4053160846233368
180,0.44588160514831543
181,0.3483090102672577
182,0.34382376074790955
183,0.3498186469078064
