,Loss
0,1.9425607919692993
1,1.9980181455612183
2,1.952165126800537
3,1.9648505449295044
4,1.964627742767334
5,1.9170674085617065
6,1.8353673219680786
7,1.6542125940322876
8,1.5311530828475952
9,1.5119699239730835
10,1.3299444913864136
11,1.2448163032531738
12,1.155867576599121
13,1.0438122749328613
14,1.0284483432769775
15,1.0155225992202759
16,1.0105820894241333
17,0.8215805888175964
18,0.7661615610122681
19,0.7907073497772217
20,0.6847937107086182
21,0.6368246674537659
22,0.6177545189857483
23,0.6207120418548584
24,0.5459306240081787
25,0.577232301235199
26,0.5487558245658875
27,0.5319479703903198
28,0.5434888601303101
29,0.5309784412384033
30,0.5271318554878235
31,0.5104106068611145
32,0.5296882390975952
33,0.4867357015609741
34,0.49869272112846375
35,0.4684750735759735
36,0.48278284072875977
37,0.4919409155845642
38,0.4900437891483307
39,0.49699580669403076
40,0.49691060185432434
41,0.4560050368309021
42,0.4773569703102112
43,0.45562031865119934
44,0.4735168218612671
45,0.43908074498176575
46,0.4635055661201477
47,0.43747177720069885
48,0.45691072940826416
49,0.42595455050468445
50,0.44371795654296875
51,0.4281277656555176
52,0.47111594676971436
53,0.426852822303772
54,0.4357832372188568
55,0.42925912141799927
56,0.4269769787788391
57,0.4415079653263092
58,0.47058582305908203
59,0.42105603218078613
60,0.40422767400741577
61,0.4453281760215759
62,0.402389794588089
63,0.417792409658432
64,0.3839648365974426
65,0.4124378561973572
66,0.4138841927051544
67,0.4030713737010956
68,0.38556039333343506
69,0.3882614076137543
70,0.39979588985443115
71,0.3887738883495331
72,0.4065420627593994
73,0.4179828464984894
74,0.419440358877182
75,0.43434765934944153
76,0.3947559893131256
77,0.3887951970100403
78,0.39778760075569153
79,0.37134188413619995
80,0.347896009683609
81,0.36988475918769836
82,0.37005937099456787
83,0.36901625990867615
84,0.38961541652679443
85,0.3575194180011749
86,0.3430805206298828
87,0.3587912917137146
88,0.35495415329933167
89,0.37074971199035645
90,0.3435669243335724
91,0.34696871042251587
92,0.34194228053092957
93,0.3659820556640625
94,0.34713149070739746
95,0.3486294746398926
96,0.3238309323787689
97,0.33287468552589417
98,0.34695833921432495
99,0.31820225715637207
100,0.3213553726673126
101,0.318088173866272
102,0.32040032744407654
103,0.30502626299858093
104,0.32032814621925354
105,0.2891882658004761
106,0.30448612570762634
107,0.3213711678981781
108,0.32607153058052063
109,0.3190169930458069
110,0.29394209384918213
111,0.2868286371231079
112,0.3347788155078888
113,0.2836165726184845
114,0.3307529091835022
115,0.3121371865272522
116,0.32800498604774475
117,0.2789989113807678
118,0.30440887808799744
119,0.2786139249801636
120,0.26180580258369446
121,0.2875402569770813
122,0.2788039445877075
123,0.24888013303279877
124,0.29969438910484314
125,0.2704555094242096
126,0.27218297123908997
127,0.27517926692962646
128,0.31308355927467346
129,0.29038146138191223
130,0.2571684718132019
131,0.25131088495254517
132,0.26857540011405945
133,0.2520594596862793
134,0.2594171464443207
135,0.3470386862754822
136,0.26854851841926575
137,0.26070383191108704
138,0.2508369982242584
139,0.2464950680732727
140,0.25982511043548584
141,0.24232487380504608
142,0.24226172268390656
143,0.23923201858997345
144,0.21718181669712067
145,0.24578487873077393
146,0.2380833774805069
