,Loss
0,2.642947196960449
1,2.6378626823425293
2,2.659886598587036
3,2.6360156536102295
4,2.574892520904541
5,2.4719836711883545
6,2.320868492126465
7,2.242831230163574
8,2.1544864177703857
9,2.0475969314575195
10,1.9072215557098389
11,1.7515864372253418
12,1.6615239381790161
13,1.5493298768997192
14,1.4459631443023682
15,1.3617793321609497
16,1.1835522651672363
17,1.06122624874115
18,0.988371729850769
19,0.8813743591308594
20,0.8878309726715088
21,0.8747199773788452
22,0.8826818466186523
23,0.8552727699279785
24,0.8690871596336365
25,0.8838075399398804
26,0.7826400399208069
27,0.8246906399726868
28,0.8096605539321899
29,0.7836097478866577
30,0.7753263711929321
31,0.7621732950210571
32,0.7997889518737793
33,0.772010326385498
34,0.8177132606506348
35,0.7086474895477295
36,0.7531298398971558
37,0.8052060008049011
38,0.7413138151168823
39,0.7441139221191406
40,0.7729987502098083
41,0.8040515780448914
42,0.84605872631073
43,0.7493010759353638
44,0.7721928954124451
45,0.6927347183227539
46,0.7596040964126587
47,0.7085357904434204
48,0.7249473333358765
49,0.7133264541625977
50,0.7335299253463745
51,0.8039534687995911
52,0.701453685760498
53,0.6905080080032349
54,0.7280181646347046
55,0.6823873519897461
56,0.6888411045074463
57,0.795717716217041
58,0.7446735501289368
59,0.6984615325927734
60,0.7268555164337158
61,0.6638160943984985
62,0.7295775413513184
63,0.7638727426528931
64,0.6821351051330566
65,0.6902039051055908
66,0.6724561452865601
67,0.6688858270645142
68,0.7078298330307007
69,0.6320637464523315
70,0.6753998398780823
71,0.5984677076339722
72,0.7144820690155029
73,0.6649265885353088
74,0.6185958385467529
75,0.6517793536186218
76,0.6812646985054016
77,0.6092439293861389
78,0.6124740839004517
79,0.6341323852539062
80,0.6173079609870911
81,0.6104795932769775
82,0.5972631573677063
83,0.6050388813018799
84,0.5836688280105591
85,0.6628808379173279
86,0.5691440105438232
87,0.6087573766708374
88,0.6005582809448242
89,0.5306592583656311
90,0.571958065032959
91,0.5371633172035217
92,0.5991458892822266
93,0.5211352705955505
94,0.5363081097602844
95,0.49854135513305664
96,0.5222268104553223
97,0.47781407833099365
98,0.48054349422454834
99,0.5254284739494324
100,0.48940223455429077
101,0.5624194145202637
102,0.4628487229347229
103,0.5246918201446533
104,0.5174722075462341
105,0.47719383239746094
106,0.48427045345306396
107,0.4530799984931946
108,0.558091402053833
109,0.4601471424102783
110,0.49180394411087036
111,0.4630090594291687
112,0.4947608709335327
113,0.4812438488006592
114,0.47396373748779297
115,0.4711214303970337
116,0.46626561880111694
117,0.5747905969619751
118,0.4796752333641052
119,0.5067802667617798
120,0.4055316746234894
121,0.485076904296875
122,0.42680203914642334
123,0.40620195865631104
124,0.43960320949554443
125,0.4488475024700165
126,0.4579107165336609
127,0.46944910287857056
128,0.42200952768325806
129,0.411038339138031
130,0.40253058075904846
131,0.4650455117225647
132,0.3911816477775574
133,0.4045884609222412
134,0.4354149103164673
135,0.3887180984020233
136,0.40883830189704895
137,0.4449036121368408
138,0.41210636496543884
139,0.3755786418914795
140,0.4109782874584198
141,0.4716646075248718
142,0.38409310579299927
143,0.4050740599632263
144,0.412617027759552
145,0.43909937143325806
146,0.4615623354911804
147,0.37852275371551514
148,0.3798638880252838
149,0.38862907886505127
150,0.42009681463241577
151,0.3603498041629791
152,0.39677733182907104
153,0.37858840823173523
154,0.3477326035499573
155,0.40718719363212585
156,0.40251845121383667
157,0.3834226131439209
158,0.41606324911117554
